rank,name,genre,country,formed,split,fans,band_link,img_link
4182,Gygax,"hard rock, heavy",USA,2015,-,6,band.php?band_id=9855,../images/bands/9855.jpg
4183,HÃ¤llas,"hard rock, progressive rock",Sweden,2011,-,6,band.php?band_id=11630,../images/bands/11630.jpg
4184,Haiduk,"melodic death, thrash",Canada,2009,-,6,band.php?band_id=8069,../images/bands/8069.jpg
4185,Handful Of Hate,black,Italy,1993,-,6,band.php?band_id=702,../images/bands/702.jpg
4186,Hate Meditation,black,USA,2003,-,6,band.php?band_id=7773,../images/bands/7773.jpg
4187,HelfrÃ³,black,Iceland,2017,-,6,band.php?band_id=11598,../images/bands/11598.jpg
4188,Helioss,"symphonic death, melodic black",France,2010,-,6,band.php?band_id=11670,../images/bands/11670.jpg
4189,Hell Militia,black,France,2001,-,6,band.php?band_id=7237,../images/bands/7237.jpg
4190,Hierophant,"black, sludge, hardcore",Italy,2010,-,6,band.php?band_id=8585,../images/bands/8585.jpg
4191,Hjel,black,Germany,2013,-,6,band.php?band_id=9499,../images/bands/9499.jpg
4192,Homo Iratus,death,Greece,1998,-,6,band.php?band_id=1070,../images/bands/1070.jpg
4193,Horse Latitudes,"doom, sludge",Finland,2009,-,6,band.php?band_id=5395,../images/bands/5395.jpg
4194,Hour Of 13,doom,USA,2006,-,6,band.php?band_id=4376,../images/bands/4376.jpg
4195,Houwitser,death,The Netherlands,1997,-,6,band.php?band_id=5794,../images/bands/5794.jpg
4196,Howling Sycamore,"progressive, avantgarde",USA,2016,-,6,band.php?band_id=10061,../images/bands/10061.jpg
4197,I Am I,"heavy, power",United Kingdom,2012,-,6,band.php?band_id=7176,../images/bands/7176.jpg
4198,Icarus Witch,heavy,USA,2004,-,6,band.php?band_id=1465,../images/bands/1465.jpg
4199,Iconocaust,"death, thrash",USA,2005,-,6,band.php?band_id=6757,../images/bands/6757.jpg
4200,Implore,grindcore,Germany,2013,-,6,band.php?band_id=8664,../images/bands/8664.jpg
4201,In Tormentata Quiete,progressive,Italy,1998,-,6,band.php?band_id=3357,../images/bands/3357.jpg
4202,In Twilight's Embrace,"metalcore, melodic death, death, black",Poland,2005,-,6,band.php?band_id=9196,../images/bands/9196.jpg
4203,Ingrimm,medieval folk,Germany,2004,-,6,band.php?band_id=4742,../images/bands/4742.jpg
4204,Inhume,"brutal death, grindcore",The Netherlands,1994,-,6,band.php?band_id=3026,../images/bands/3026.jpg
4205,Interitus Dei,gothic,Romania,1994,-,6,band.php?band_id=3982,../images/bands/3982.jpg
4206,Ironflame,us power,USA,2016,-,6,band.php?band_id=10360,../images/bands/10360.jpg
4207,Ivanhoe,progressive,Germany,1986,-,6,band.php?band_id=1473,../images/bands/1473.jpg
4208,Jacobs Dream,"us power, progressive",USA,1994,-,6,band.php?band_id=3404,../images/bands/3404.jpg
4209,Jaded Heart,"hard rock, melodic heavy",Germany,1990,-,6,band.php?band_id=14191,../images/bands/14191.jpg
4210,Jenner,"heavy, speed, thrash",Serbia,2013,-,6,band.php?band_id=9833,../images/bands/9833.jpg
4211,Just Before Dawn,death,Sweden,2012,-,6,band.php?band_id=8634,../images/bands/8634.jpg
4212,KÃ¶rgull The Exterminator,blackened thrash,Spain,2004,-,6,band.php?band_id=5310,../images/bands/5310.jpg
4213,Kanonenfieber,"black, death",Germany,2020,-,6,band.php?band_id=14171,../images/bands/14171.jpg
4214,Karmaflow,symphonic,The Netherlands,2013,-,6,band.php?band_id=9391,../images/bands/9391.jpg
4215,Katedra,"heavy, power, thrash",Lithuania,1986,2019,6,band.php?band_id=10626,../images/bands/10626.jpg
4216,Killing Touch,melodic power,Italy,2008,-,6,band.php?band_id=6555,../images/bands/6555.jpg
4217,King Witch,doom,United Kingdom,2015,-,6,band.php?band_id=10068,../images/bands/10068.jpg
4218,Kirk Windstein,sludge,USA,2019,-,6,band.php?band_id=11102,../images/bands/11102.jpg
4219,Krv,black,Bosnia and Herzegovina,2003,2010,6,band.php?band_id=2881,../images/bands/2881.jpg
4220,Kultika,"black, post-metal",Romania,2008,-,6,band.php?band_id=9186,../images/bands/9186.jpg
4221,Lantern,death,Finland,2007,-,6,band.php?band_id=7932,../images/bands/7932.jpg
4222,Lecherous Nocturne,"brutal death, technical death",USA,1997,-,6,band.php?band_id=6059,../images/bands/6059.jpg
4223,Les Chants De Nihil,black,France,2007,-,6,band.php?band_id=5448,../images/bands/5448.jpg
4224,Let Me Dream,gothic doom,Finland,1989,2008,6,band.php?band_id=1167,../images/bands/1167.jpg
4225,Level 10,"heavy, power",,2014,-,6,band.php?band_id=8692,../images/bands/8692.jpg
4226,Lorn,black,Italy,1999,-,6,band.php?band_id=8977,../images/bands/8977.jpg
4227,Love Sex Machine,sludge,France,2009,-,6,band.php?band_id=8577,../images/bands/8577.jpg
4228,Loviatar,doom,Canada,2010,-,6,band.php?band_id=11568,../images/bands/11568.jpg
4229,Machinery,"thrash, power",Sweden,2001,2011,6,band.php?band_id=2293,../images/bands/2293.jpg
4230,Mad Max,"hard rock, heavy",Germany,1981,-,6,band.php?band_id=10858,../images/bands/10858.jpg
4231,Maim,death,Sweden,2006,-,6,band.php?band_id=5676,../images/bands/5676.jpg
4232,Majster Kat,thrash,Slovak Republic,2001,-,6,band.php?band_id=2618,../images/bands/2618.jpg
4233,Malakhim,black,Sweden,2016,-,6,band.php?band_id=13835,../images/bands/13835.jpg
4234,Malthusian,"black, death",Ireland,2012,-,6,band.php?band_id=8779,../images/bands/8779.jpg
4235,Manii,depressive black,Norway,2011,-,6,band.php?band_id=8040,../images/bands/8040.jpg
4236,Mares Of Thrace,"sludge, doom",Canada,2009,-,6,band.php?band_id=4859,../images/bands/4859.jpg
4237,Maruta,grindcore,USA,2005,-,6,band.php?band_id=3847,../images/bands/3847.jpg
4238,Mean Streak,power,Sweden,2006,-,6,band.php?band_id=12503,../images/bands/12503.jpg
4239,Medico Peste,black,Poland,2010,-,6,band.php?band_id=8157,../images/bands/8157.jpg
4240,Mental Home,"death doom, melodic death, melodic doom",Russia,1993,-,6,band.php?band_id=5822,../images/bands/5822.jpg
4241,Messiah's Kiss,heavy,Germany,2001,-,6,band.php?band_id=2314,../images/bands/2314.jpg
4242,Miazma,death,Australia,2008,-,6,band.php?band_id=7910,../images/bands/7910.jpg
4243,Mirror,heavy,Cyprus,2015,-,6,band.php?band_id=11231,../images/bands/11231.jpg
4244,Mistress,"death, grindcore, sludge",United Kingdom,1999,2008,6,band.php?band_id=4156,../images/bands/4156.jpg
4245,Moonlight Haze,"symphonic, power",Italy,2018,-,6,band.php?band_id=12183,../images/bands/12183.jpg
4246,Mortuus,black,Sweden,2003,-,6,band.php?band_id=9400,../images/bands/9400.jpg
4247,Mutilation Rites,black,USA,2009,-,6,band.php?band_id=7224,../images/bands/7224.jpg
4248,My Enchantment,black,Portugal,2000,-,6,band.php?band_id=3450,../images/bands/3450.jpg
4249,Mystic Force,"us power, progressive",USA,1983,-,6,band.php?band_id=3724,../images/bands/3724.jpg
4250,Nachtlieder,black,Sweden,2008,-,6,band.php?band_id=9265,../images/bands/9265.jpg
4251,Nachtvorst,black,The Netherlands,2007,-,6,band.php?band_id=7044,../images/bands/7044.jpg
4252,Nanowar,heavy,Italy,2003,2006,6,band.php?band_id=10318,../images/bands/10318.jpg
4253,Nekrokraft,"black, death, thrash",Sweden,2012,-,6,band.php?band_id=8970,../images/bands/8970.jpg
4254,Neoheresy,"pagan black, symphonic black",Poland,2014,-,6,band.php?band_id=9583,../images/bands/9583.jpg
4255,Nigredo,black,Greece,2013,-,6,band.php?band_id=10094,../images/bands/10094.jpg
4256,Nils Patrik Johansson,heavy,Sweden,2018,-,6,band.php?band_id=10055,../images/bands/10055.jpg
4257,Nocturnal Fear,"death, thrash",USA,2000,-,6,band.php?band_id=3269,../images/bands/3269.jpg
4258,Noothgrush,"doom, sludge",USA,1994,-,6,band.php?band_id=7922,../images/bands/7922.jpg
4259,Norilsk,"death doom, funeral doom",Canada,2012,-,6,band.php?band_id=9125,../images/bands/9125.jpg
4260,Northern Plague,"black, death",Poland,2009,-,6,band.php?band_id=9247,../images/bands/9247.jpg
4261,Nox,death,The Netherlands,2003,2011,6,band.php?band_id=6143,../images/bands/6143.jpg
4262,Nyrst,black,Iceland,2013,-,6,band.php?band_id=11668,../images/bands/11668.jpg
4263,Old Night,doom,Croatia,2015,-,6,band.php?band_id=9944,../images/bands/9944.jpg
4264,Omnerod,extreme progressive,Belgium,2009,-,6,band.php?band_id=8532,../images/bands/8532.jpg
4265,Ordog,doom,Finland,2005,-,6,band.php?band_id=3150,../images/bands/3150.jpg
4266,Orm,black,Denmark,2015,-,6,band.php?band_id=11460,../images/bands/11460.jpg
4267,Outre-Tombe,death,Canada,2010,-,6,band.php?band_id=10341,../images/bands/10341.jpg
4268,Overdrive,heavy,Sweden,1980,-,6,band.php?band_id=2834,../images/bands/2834.jpg
4269,Overlorde,us power,USA,1985,-,6,band.php?band_id=1372,../images/bands/1372.jpg
4270,P.L.F.,grindcore,USA,1999,-,6,band.php?band_id=5429,../images/bands/5429.jpg
4271,Pagan Hellfire,black,Canada,1995,-,6,band.php?band_id=731,../images/bands/731.jpg
4272,Panegyrist,progressive black,USA,2017,-,6,band.php?band_id=10182,../images/bands/10182.jpg
4273,Paranorm,"progressive thrash, progressive death",Sweden,2007,-,6,band.php?band_id=13788,../images/bands/13788.jpg
4274,Perversor,"blackened death, blackened thrash",Chile,2007,-,6,band.php?band_id=4575,../images/bands/4575.jpg
4275,Pessimist (GER),thrash,Germany,2006,-,6,band.php?band_id=10263,../images/bands/10263.jpg
4276,Pestilential Shadows,black,Australia,2003,-,6,band.php?band_id=5368,../images/bands/5368.jpg
4277,Pilgrim,doom,USA,2010,-,6,band.php?band_id=6567,../images/bands/6567.jpg
4278,Pounder,heavy,USA,2016,-,6,band.php?band_id=10593,../images/bands/10593.jpg
4279,Prestige,thrash,Finland,1987,-,6,band.php?band_id=10928,../images/bands/10928.jpg
4280,Queiron,brutal death,Brazil,1995,-,6,band.php?band_id=3322,../images/bands/3322.jpg
4281,Rendezvous Point,progressive,Norway,2010,-,6,band.php?band_id=9399,../images/bands/9399.jpg
4282,Rising Dream,"heavy, extreme power, power",Croatia,2004,2019,6,band.php?band_id=6490,../images/bands/6490.jpg
4283,Rocka Rollas,"speed, heavy",Sweden,2007,-,6,band.php?band_id=10034,../images/bands/10034.jpg
4284,Rosa Nocturna,symphonic,Czech Republic,2007,-,6,band.php?band_id=13177,../images/bands/13177.jpg
4285,S-Tool,suomi,Finland,2015,-,6,band.php?band_id=9961,../images/bands/9961.jpg
4286,Sacrilege (UK-BRM),"thrash, crust punk, doom",United Kingdom,1984,-,6,band.php?band_id=10898,../images/bands/10898.jpg
4287,Sammath,black,The Netherlands,1994,-,6,band.php?band_id=8556,../images/bands/8556.jpg
4288,Scarleth,"symphonic power, gothic",Ukraine,2005,-,6,band.php?band_id=6841,../images/bands/6841.jpg
4289,Schizoid Lloyd,"progressive, avantgarde",The Netherlands,2007,-,6,band.php?band_id=8654,../images/bands/8654.jpg
4290,Scythian,"blackened death, thrash",United Kingdom,2004,-,6,band.php?band_id=5304,../images/bands/5304.jpg
4291,Shaarimoth,death,Norway,2004,-,6,band.php?band_id=6689,../images/bands/6689.jpg
4292,Shadowkeep,"progressive, power",United Kingdom,1999,-,6,band.php?band_id=3607,../images/bands/3607.jpg
4293,Sheavy,"doom, stoner",Canada,1993,-,6,band.php?band_id=9075,../images/bands/9075.jpg
4294,Shepherds Of Cassini,"post-metal, progressive rock",New Zealand,2012,-,6,band.php?band_id=9398,../images/bands/9398.jpg
4295,Silent Opera,symphonic gothic,France,2007,-,6,band.php?band_id=7211,../images/bands/7211.jpg
4296,Skeletal Spectre,"death, doom",Sweden,2008,2014,6,band.php?band_id=7981,../images/bands/7981.jpg
4297,Skyward,symphonic power,Finland,2000,-,6,band.php?band_id=1710,../images/bands/1710.jpg
4298,Sleipnir,pagan folk,United Kingdom,2005,2020,6,band.php?band_id=8876,../images/bands/8876.jpg
4299,Smallman,"folk, post-metal",Bulgaria,2001,-,6,band.php?band_id=9171,../images/bands/9171.jpg
4300,Somnus Aeternus,"death doom, gothic doom",Czech Republic,2007,2019,6,band.php?band_id=7367,../images/bands/7367.jpg
4301,Soul Stealer,"heavy, power",Lithuania,2003,-,6,band.php?band_id=4709,../images/bands/4709.jpg
4302,Sparzanza,"stoner, stoner rock",Sweden,1996,-,6,band.php?band_id=11442,../images/bands/11442.jpg
4303,Speed\Kill/Hate,thrash,USA,2002,-,6,band.php?band_id=6116,../images/bands/6116.jpg
4304,Spidergawd,"hard rock, psychedelic rock",Norway,2013,-,6,band.php?band_id=9479,../images/bands/9479.jpg
4305,Spoil Engine,"melodic death, metalcore",Belgium,2004,-,6,band.php?band_id=4738,../images/bands/4738.jpg
4306,Stallion,"speed, heavy",Germany,2013,-,6,band.php?band_id=11473,../images/bands/11473.jpg
4307,Star Queen,"symphonic power, symphonic gothic","Bulgaria, Sweden",2001,2010,6,band.php?band_id=3973,../images/bands/3973.jpg
4308,Starblind,heavy,Sweden,2013,-,6,band.php?band_id=12169,../images/bands/12169.jpg
4309,Stargazery,heavy,Finland,2005,-,6,band.php?band_id=5631,../images/bands/5631.jpg
4310,Stench,death,Sweden,2007,2015,6,band.php?band_id=7931,../images/bands/7931.jpg
4311,Stormruler,black,USA,2019,-,6,band.php?band_id=13553,../images/bands/13553.jpg
4312,Sulphur,"black, death",Norway,1999,-,6,band.php?band_id=9382,../images/bands/9382.jpg
4313,Sumerlands,"heavy, power",USA,2014,-,6,band.php?band_id=9769,../images/bands/9769.jpg
4314,Svartkonst,"death, black",Sweden,2012,-,6,band.php?band_id=11562,../images/bands/11562.jpg
4315,Sweet Savage,"new wave of british heavy, heavy",United Kingdom,1979,-,6,band.php?band_id=3341,../images/bands/3341.jpg
4316,Syrach,doom,Norway,1993,-,6,band.php?band_id=3888,../images/bands/3888.jpg
4317,Terror Empire,groove thrash,Portugal,2009,-,6,band.php?band_id=8675,../images/bands/8675.jpg
4318,Tesa,"post-metal, sludge, hardcore",Latvia,2005,-,6,band.php?band_id=9169,../images/bands/9169.jpg
4319,The 3rd Attempt,black,Norway,2014,-,6,band.php?band_id=9057,../images/bands/9057.jpg
4320,The Almighty,hard rock,United Kingdom,1988,-,6,band.php?band_id=3576,../images/bands/3576.jpg
4321,The Crevices Below,black,Australia,2011,2013,6,band.php?band_id=6798,../images/bands/6798.jpg
4322,The Defaced,"melodic death, thrash",Sweden,1995,-,6,band.php?band_id=738,../images/bands/738.jpg
4323,The Devil And The Almighty Blues,"hard rock, blues rock",Norway,2011,-,6,band.php?band_id=10026,../images/bands/10026.jpg
4324,The Disciples Of Zoldon,"death, doom",New Zealand,2005,-,6,band.php?band_id=2127,../images/bands/2127.jpg
4325,The Eternal Suffering,"black, death",Greece,2001,-,6,band.php?band_id=5413,../images/bands/5413.jpg
4326,The Grotesquery,death,Sweden,2009,-,6,band.php?band_id=6269,../images/bands/6269.jpg
4327,The Kill,grindcore,Australia,2000,-,6,band.php?band_id=1025,../images/bands/1025.jpg
4328,The Lightbringer Of Sweden,power,Sweden,2017,-,6,band.php?band_id=12537,../images/bands/12537.jpg
4329,The Mist And The Morning Dew,"gothic doom, folk",Finland,2000,2005,6,band.php?band_id=5347,../images/bands/5347.jpg
4330,The Order Of Chaos,"heavy, power, thrash",Canada,2003,-,6,band.php?band_id=7794,../images/bands/7794.jpg
4331,The Rain I Bleed,progressive symphonic,Greece,2008,-,6,band.php?band_id=6734,../images/bands/6734.jpg
4332,The Scourger,thrash,Finland,2003,-,6,band.php?band_id=3944,../images/bands/3944.jpg
4333,The Soulless,melodic metalcore,United Kingdom,2010,-,6,band.php?band_id=3646,../images/bands/3646.jpg
4334,Third Ion,progressive,Canada,2010,-,6,band.php?band_id=9101,../images/bands/9101.jpg
4335,Thundermother,hard rock,Sweden,2010,-,6,band.php?band_id=12753,../images/bands/12753.jpg
4336,Thy?,"progressive, metalcore",USA,2002,2012,6,band.php?band_id=1706,../images/bands/1706.jpg
4337,Twins Crew,"heavy, power",Sweden,2007,-,6,band.php?band_id=4177,../images/bands/4177.jpg
4338,Twinspirits,progressive,Italy,2002,-,6,band.php?band_id=2418,../images/bands/2418.jpg
4339,Tyrant (USA-CA),heavy,USA,1978,-,6,band.php?band_id=11659,../images/bands/11659.jpg
4340,Ultra-Violence,thrash,Italy,2009,-,6,band.php?band_id=10274,../images/bands/10274.jpg
4341,Ustalost,black,USA,2015,-,6,band.php?band_id=10082,../images/bands/10082.jpg
4342,VÃ¶lur,"atmospheric doom, folk",Canada,2013,-,6,band.php?band_id=11025,../images/bands/11025.jpg
4343,Valborg,"progressive doom, death",Germany,2002,-,6,band.php?band_id=5678,../images/bands/5678.jpg
4344,Vassafor,black,New Zealand,1994,-,6,band.php?band_id=9005,../images/bands/9005.jpg
4345,Vermilia,"atmospheric black, pagan black",Finland,2017,-,6,band.php?band_id=11688,../images/bands/11688.jpg
4346,Vinterblot,melodic death,Italy,2008,-,6,band.php?band_id=9377,../images/bands/9377.jpg
4347,Vouna,"atmospheric doom, atmospheric black",USA,2018,-,6,band.php?band_id=12404,../images/bands/12404.jpg
4348,Wedding In Hades,"death, gothic doom",France,2006,-,6,band.php?band_id=7115,../images/bands/7115.jpg
4349,Well Of Souls,doom,USA,1997,-,6,band.php?band_id=4822,../images/bands/4822.jpg
4350,Where Angels Fall,gothic,Norway,2003,-,6,band.php?band_id=2976,../images/bands/2976.jpg
4351,Wide Eyes,"progressive, djent, instrumental",USA,2009,-,6,band.php?band_id=7749,../images/bands/7749.jpg
4352,Widowmaker,heavy,USA,1992,1995,6,band.php?band_id=6623,../images/bands/6623.jpg
4353,Winterlong,"power, progressive",Sweden,1998,-,6,band.php?band_id=300,../images/bands/300.jpg
4354,Wishdoom,"heavy, doom",Greece,2007,-,6,band.php?band_id=5838,../images/bands/5838.jpg
4355,Witchburner,thrash,Germany,1992,-,6,band.php?band_id=4555,../images/bands/4555.jpg
4356,Woebegone Obscured,"blackened doom, funeral doom",Denmark,2003,2019,6,band.php?band_id=8191,../images/bands/8191.jpg
4357,Wolvserpent,drone doom,USA,2005,-,6,band.php?band_id=8567,../images/bands/8567.jpg
4358,Woods Of Belial,"black, funeral doom, industrial doom, doom",Finland,1995,-,6,band.php?band_id=1200,../images/bands/1200.jpg
4359,Zoetrope,"speed, thrash",USA,1976,1993,6,band.php?band_id=10798,../images/bands/10798.jpg
4360,ÄŒad,"hardcore, grindcore, crust punk",Slovak Republic,1994,-,5,band.php?band_id=11868,../images/bands/11868.jpg
4361,Ã†olian,melodic death,Spain,2016,-,5,band.php?band_id=12482,../images/bands/12482.jpg
4362,Ã‰glise,"post-metal, hardcore",Denmark,2011,-,5,band.php?band_id=9411,../images/bands/9411.jpg
4363,11 As In Adversaries,extreme avantgarde,France,2010,-,5,band.php?band_id=6942,../images/bands/6942.jpg
4364,11Paranoias,psychedelic doom,United Kingdom,2011,-,5,band.php?band_id=7929,../images/bands/7929.jpg
4365,220 Volt,"heavy, hard rock",Sweden,1979,-,5,band.php?band_id=9896,../images/bands/9896.jpg
4366,69 Chambers,"heavy, alternative",Switzerland,2001,-,5,band.php?band_id=7425,../images/bands/7425.jpg
4367,A Night In Texas,technical deathcore,Australia,2010,-,5,band.php?band_id=8804,../images/bands/8804.jpg
4368,A Pregnant Light,"black, post-metal, hardcore",USA,2009,-,5,band.php?band_id=9487,../images/bands/9487.jpg
4369,A.M.S.G.,black,Canada,2007,-,5,band.php?band_id=7852,../images/bands/7852.jpg
4370,A.R.G.,thrash,Finland,1987,-,5,band.php?band_id=5142,../images/bands/5142.jpg
4371,Abnormal Thought Patterns,"technical progressive, instrumental, shred",USA,2008,-,5,band.php?band_id=9082,../images/bands/9082.jpg
4372,Abramelin,death,Australia,1988,-,5,band.php?band_id=6272,../images/bands/6272.jpg
4373,Absurdist,blackened grindcore,USA,2011,-,5,band.php?band_id=7553,../images/bands/7553.jpg
4374,Abyssic,"death doom, symphonic death",Norway,1997,-,5,band.php?band_id=11333,../images/bands/11333.jpg
4375,AfterBlood,"death, thrash",Greece,2011,-,5,band.php?band_id=8059,../images/bands/8059.jpg
4376,Ah Ciliz,"atmospheric black, depressive black",USA,2008,-,5,band.php?band_id=8600,../images/bands/8600.jpg
4377,Ahumado Granujo,grindcore,Czech Republic,1999,2005,5,band.php?band_id=3301,../images/bands/3301.jpg
4378,Akoma,"symphonic, gothic",Denmark,2004,-,5,band.php?band_id=9867,../images/bands/9867.jpg
4379,Aleph,"death, thrash, progressive",Italy,1998,2018,5,band.php?band_id=1835,../images/bands/1835.jpg
4380,Aletheian,melodic death,USA,2003,-,5,band.php?band_id=3799,../images/bands/3799.jpg
4381,Alien Ant Farm,alternative,USA,1995,-,5,band.php?band_id=12954,../images/bands/12954.jpg
4382,Amnis Nihili,black,Greece,2008,-,5,band.php?band_id=9084,../images/bands/9084.jpg
4383,Amon Din,melodic death,Serbia,1995,-,5,band.php?band_id=3506,../images/bands/3506.jpg
4384,Amor E Morte,"gothic, symphonic black",Bulgaria,2004,2008,5,band.php?band_id=5661,../images/bands/5661.jpg
4385,Anal Stench,death,Poland,2001,2012,5,band.php?band_id=3022,../images/bands/3022.jpg
4386,Angelwings,symphonic,Gibraltar,2013,-,5,band.php?band_id=9920,../images/bands/9920.jpg
4387,Angmar,black,France,2002,-,5,band.php?band_id=2927,../images/bands/2927.jpg
4388,Anthemon,"atmospheric doom, symphonic doom, atmospheric progressive",France,1997,2007,5,band.php?band_id=394,../images/bands/394.jpg
4389,Antichrisis,"gothic, folk",Germany,1995,-,5,band.php?band_id=1182,../images/bands/1182.jpg
4390,Apostate,death doom,Ukraine,1993,-,5,band.php?band_id=5565,../images/bands/5565.jpg
4391,Apostle Of Solitude,doom,USA,2004,-,5,band.php?band_id=4485,../images/bands/4485.jpg
4392,Arachnes,power,Italy,1995,-,5,band.php?band_id=375,../images/bands/375.jpg
4393,Archon Angel,progressive heavy,USA,2019,-,5,band.php?band_id=11849,../images/bands/11849.jpg
4394,Ares Kingdom,"thrash, death",USA,1996,-,5,band.php?band_id=7010,../images/bands/7010.jpg
4395,Asarhaddon,black,Germany,2015,-,5,band.php?band_id=11478,../images/bands/11478.jpg
4396,Assorted Heap,"thrash, death",Germany,1987,1992,5,band.php?band_id=10618,../images/bands/10618.jpg
4397,Astral Domine,symphonic power,Italy,2011,-,5,band.php?band_id=8110,../images/bands/8110.jpg
4398,Atrorum,avantgarde black,Germany,1998,-,5,band.php?band_id=9279,../images/bands/9279.jpg
4399,Auriga,ambient black,Lebanon,2009,-,5,band.php?band_id=8198,../images/bands/8198.jpg
4400,Autolatry,"melodic black, progressive black",USA,2009,2015,5,band.php?band_id=7822,../images/bands/7822.jpg
4401,Avenger,"new wave of british heavy, heavy",United Kingdom,1982,-,5,band.php?band_id=6654,../images/bands/6654.jpg
4402,Avsky,black,Sweden,2002,-,5,band.php?band_id=3082,../images/bands/3082.jpg
4403,Ayr,black,USA,2009,-,5,band.php?band_id=8244,../images/bands/8244.jpg
4404,Back To R'lyeh,"avantgarde, progressive",Spain,2011,-,5,band.php?band_id=9182,../images/bands/9182.jpg
4405,Baldrs Draumar,folk,The Netherlands,2008,-,5,band.php?band_id=11458,../images/bands/11458.jpg
4406,BarÃºs,progressive death,France,2015,-,5,band.php?band_id=8932,../images/bands/8932.jpg
4407,Baruk Khazad,"melodic death, folk",Sweden,2009,-,5,band.php?band_id=9832,../images/bands/9832.jpg
4408,Bask,"post-metal, stoner rock, psychedelic rock",USA,2013,-,5,band.php?band_id=8497,../images/bands/8497.jpg
4409,Battlezone,"groove thrash, heavy",United Kingdom,1985,1998,5,band.php?band_id=9355,../images/bands/9355.jpg
4410,Before Eden,progressive power,Brazil,1998,-,5,band.php?band_id=6881,../images/bands/6881.jpg
4411,Begrime Exemious,blackened death,Canada,2005,-,5,band.php?band_id=6952,../images/bands/6952.jpg
4412,Bezmir,black,Ukraine,2017,-,5,band.php?band_id=9943,../images/bands/9943.jpg
4413,Bhleg,atmospheric black,Sweden,2013,-,5,band.php?band_id=9070,../images/bands/9070.jpg
4414,Black Oath,doom,Italy,2006,-,5,band.php?band_id=6751,../images/bands/6751.jpg
4415,Black Steel,"heavy, power",Australia,2000,-,5,band.php?band_id=1661,../images/bands/1661.jpg
4416,Black Viper,"heavy, speed",Norway,2012,-,5,band.php?band_id=10357,../images/bands/10357.jpg
4417,Blacklodge,industrial black,France,1998,-,5,band.php?band_id=3858,../images/bands/3858.jpg
4418,Blockheads,grindcore,France,1992,-,5,band.php?band_id=3460,../images/bands/3460.jpg
4419,Blood Farmers,doom,USA,1989,-,5,band.php?band_id=8173,../images/bands/8173.jpg
4420,Bloodtruth,"brutal death, technical death",Italy,2009,-,5,band.php?band_id=8544,../images/bands/8544.jpg
4421,Bombs Of Hades,death,Sweden,2002,-,5,band.php?band_id=7675,../images/bands/7675.jpg
4422,Booze Control,heavy,Germany,2009,2019,5,band.php?band_id=11130,../images/bands/11130.jpg
4423,Bythos,black,Finland,2015,-,5,band.php?band_id=11734,../images/bands/11734.jpg
4424,Bywar,thrash,Brazil,1996,2013,5,band.php?band_id=11069,../images/bands/11069.jpg
4425,Cavernous Gate,"atmospheric black, neofolk",Germany,2019,-,5,band.php?band_id=11030,../images/bands/11030.jpg
4426,Cemican,"folk, melodic death",Mexico,2008,-,5,band.php?band_id=10986,../images/bands/10986.jpg
4427,Cerebrum,technical death,Greece,2003,-,5,band.php?band_id=4457,../images/bands/4457.jpg
4428,Chakal,thrash,Brazil,1985,-,5,band.php?band_id=10297,../images/bands/10297.jpg
4429,Chaos Inception,death,USA,2008,-,5,band.php?band_id=7143,../images/bands/7143.jpg
4430,Chaoswave,"melodic heavy, progressive",Italy,2003,2011,5,band.php?band_id=1233,../images/bands/1233.jpg
4431,Chemical Breath,"technical death, thrash",Belgium,1990,1998,5,band.php?band_id=8728,../images/bands/8728.jpg
4432,Civilization One,power,Germany,2006,-,5,band.php?band_id=2452,../images/bands/2452.jpg
4433,Corpus Mortale,brutal death,Denmark,1993,-,5,band.php?band_id=929,../images/bands/929.jpg
4434,Corr MhÃ³na,"doom, heavy, celtic black",Ireland,2009,-,5,band.php?band_id=9181,../images/bands/9181.jpg
4435,Crimson Moon,black,"USA, Germany",1994,-,5,band.php?band_id=6470,../images/bands/6470.jpg
4436,Crimson Sun,symphonic,Finland,2001,-,5,band.php?band_id=9459,../images/bands/9459.jpg
4437,Cryptic Warning,"technical death, thrash",USA,2000,2006,5,band.php?band_id=9746,../images/bands/9746.jpg
4438,Cult Of Lilith,technical death,Iceland,2015,-,5,band.php?band_id=12455,../images/bands/12455.jpg
4439,Cult Of Occult,"doom, blackened sludge",France,2011,-,5,band.php?band_id=8969,../images/bands/8969.jpg
4440,Dangerous Toys,glam,USA,1987,-,5,band.php?band_id=14695,../images/bands/14695.jpg
4441,Danse Macabre,gothic,The Netherlands,1995,2004,5,band.php?band_id=9683,../images/bands/9683.jpg
4442,Dark Embrace,gothic doom,Spain,2000,-,5,band.php?band_id=1284,../images/bands/1284.jpg
4443,Dark Sermon,"death, deathcore",USA,2009,2017,5,band.php?band_id=8688,../images/bands/8688.jpg
4444,Dark Tribe,black,Germany,1997,2015,5,band.php?band_id=7775,../images/bands/7775.jpg
4445,Darkened,death,Sweden,2018,-,5,band.php?band_id=12872,../images/bands/12872.jpg
4446,David Ellefson,heavy,USA,2010,-,5,band.php?band_id=10924,../images/bands/10924.jpg
4447,Dawn Of Winter,doom,Germany,1990,-,5,band.php?band_id=3947,../images/bands/3947.jpg
4448,De Arma,"black, post-metal",Sweden,2009,-,5,band.php?band_id=9771,../images/bands/9771.jpg
