rank,name,genre,country,formed,split,fans,band_link,img_link
91,Darkthrone,"death, black, crust punk, heavy",Norway,1986,-,939,band.php?band_id=82,../images/bands/82.jpg
92,Alcest,"atmospheric black, shoegaze",France,2000,-,938,band.php?band_id=1748,../images/bands/1748.jpg
93,HammerFall,power,Sweden,1993,-,936,band.php?band_id=121,../images/bands/121.jpg
94,Rhapsody,symphonic power,Italy,1993,2006,931,band.php?band_id=16,../images/bands/16.jpg
95,Korpiklaani,folk,Finland,2003,-,925,band.php?band_id=415,../images/bands/415.jpg
96,Rush,progressive rock,Canada,1968,2018,925,band.php?band_id=582,../images/bands/582.jpg
97,Overkill,thrash,USA,1980,-,923,band.php?band_id=113,../images/bands/113.jpg
98,Devin Townsend,"industrial progressive, progressive",Canada,1996,-,919,band.php?band_id=87,../images/bands/87.jpg
99,Satyricon,black,Norway,1990,-,904,band.php?band_id=143,../images/bands/143.jpg
100,Ozzy Osbourne,heavy,"United Kingdom, USA",1979,-,903,band.php?band_id=116,../images/bands/116.jpg
101,Deep Purple,"heavy, hard rock",United Kingdom,1968,-,869,band.php?band_id=2223,../images/bands/2223.jpg
102,Trivium,"metalcore, thrash, alternative",USA,2000,-,833,band.php?band_id=1531,../images/bands/1531.jpg
103,Riverside,progressive,Poland,2001,-,826,band.php?band_id=536,../images/bands/536.jpg
104,Soilwork,gothenburg,Sweden,1995,-,805,band.php?band_id=165,../images/bands/165.jpg
105,Equilibrium,"viking folk, gothenburg",Germany,2001,-,798,band.php?band_id=512,../images/bands/512.jpg
106,King Diamond,heavy,"Denmark, USA",1985,-,787,band.php?band_id=140,../images/bands/140.jpg
107,Edguy,power,Germany,1992,-,783,band.php?band_id=91,../images/bands/91.jpg
108,Alice In Chains,"grunge, heavy",USA,1985,-,758,band.php?band_id=2141,../images/bands/2141.jpg
109,Obituary,death,USA,1984,-,748,band.php?band_id=110,../images/bands/110.jpg
110,Candlemass,epic doom,Sweden,1984,-,744,band.php?band_id=67,../images/bands/67.jpg
111,Orphaned Land,"progressive folk, death, folk",Israel,1991,-,744,band.php?band_id=112,../images/bands/112.jpg
112,Accept,heavy,Germany,1968,-,729,band.php?band_id=291,../images/bands/291.jpg
113,Primordial,"black, celtic folk",Ireland,1987,-,726,band.php?band_id=419,../images/bands/419.jpg
114,Ghost,"heavy, psychedelic rock",Sweden,2008,-,722,band.php?band_id=5393,../images/bands/5393.jpg
115,Ne Obliviscaris,extreme progressive,Australia,2003,-,718,band.php?band_id=3932,../images/bands/3932.jpg
116,Deicide,death,USA,1987,-,713,band.php?band_id=84,../images/bands/84.jpg
117,Fleshgod Apocalypse,symphonic death,Italy,2007,-,712,band.php?band_id=1806,../images/bands/1806.jpg
118,Omnium Gatherum,melodic death,Finland,1996,-,712,band.php?band_id=1261,../images/bands/1261.jpg
119,Angra,progressive power,Brazil,1991,-,707,band.php?band_id=32,../images/bands/32.jpg
120,Turisas,folk,Finland,1997,-,698,band.php?band_id=507,../images/bands/507.jpg
121,Pain Of Salvation,"progressive, progressive rock",Sweden,1984,-,697,band.php?band_id=21,../images/bands/21.jpg
122,Disturbed,"nu, alternative",USA,1996,-,692,band.php?band_id=3203,../images/bands/3203.jpg
123,Apocalyptica,symphonic heavy,Finland,1993,-,689,band.php?band_id=244,../images/bands/244.jpg
124,Haggard,"experimental death, symphonic",Germany,1989,-,689,band.php?band_id=171,../images/bands/171.jpg
125,DragonForce,power,United Kingdom,1999,-,688,band.php?band_id=248,../images/bands/248.jpg
126,Arcturus,"avantgarde black, avantgarde",Norway,1990,-,681,band.php?band_id=231,../images/bands/231.jpg
127,Fear Factory,"industrial, death",USA,1989,-,681,band.php?band_id=107,../images/bands/107.jpg
128,Lacuna Coil,"gothic, alternative",Italy,1994,-,680,band.php?band_id=147,../images/bands/147.jpg
129,Bolt Thrower,"death, grindcore",United Kingdom,1986,2016,677,band.php?band_id=311,../images/bands/311.jpg
130,Mercyful Fate,"heavy, first wave of black","Denmark, USA",1981,-,675,band.php?band_id=224,../images/bands/224.jpg
131,Ulver,"folk, electronic avantgarde, black",Norway,1992,-,672,band.php?band_id=20,../images/bands/20.jpg
132,Decapitated,technical death,Poland,1996,-,669,band.php?band_id=478,../images/bands/478.jpg
133,Annihilator,thrash,Canada,1984,-,665,band.php?band_id=33,../images/bands/33.jpg
134,Marduk,black,Sweden,1990,-,664,band.php?band_id=160,../images/bands/160.jpg
135,Alestorm,"folk, power",United Kingdom,2004,-,662,band.php?band_id=2786,../images/bands/2786.jpg
136,Tristania,"symphonic gothic, gothic",Norway,1996,-,662,band.php?band_id=63,../images/bands/63.jpg
137,Necrophagist,technical death,Germany,1992,-,655,band.php?band_id=483,../images/bands/483.jpg
138,Type O Negative,"gothic, doom",USA,1989,2010,647,band.php?band_id=62,../images/bands/62.jpg
139,Obscura,"progressive death, technical death",Germany,2002,-,645,band.php?band_id=2870,../images/bands/2870.jpg
140,In Mourning,"gothic, melodic death, progressive",Sweden,2000,-,631,band.php?band_id=3087,../images/bands/3087.jpg
141,Korn,"nu, alternative",USA,1993,-,631,band.php?band_id=885,../images/bands/885.jpg
142,Leprous,progressive,Norway,2001,-,630,band.php?band_id=5167,../images/bands/5167.jpg
143,Cynic,"progressive death, progressive",USA,1987,-,627,band.php?band_id=584,../images/bands/584.jpg
144,Celtic Frost,"first wave of black, avantgarde, thrash",Switzerland,1984,2008,626,band.php?band_id=70,../images/bands/70.jpg
145,Saturnus,"death, gothic doom",Denmark,1991,-,623,band.php?band_id=1771,../images/bands/1771.jpg
146,Evergrey,"progressive, power",Sweden,1996,-,622,band.php?band_id=98,../images/bands/98.jpg
147,Scar Symmetry,"melodic death, progressive power",Sweden,2004,-,621,band.php?band_id=674,../images/bands/674.jpg
148,Scorpions,"progressive rock, hard rock, heavy",Germany,1965,-,619,band.php?band_id=1051,../images/bands/1051.jpg
149,Rainbow,"hard rock, heavy",United Kingdom,1975,-,618,band.php?band_id=450,../images/bands/450.jpg
150,Tiamat,"death, atmospheric gothic",Sweden,1988,-,614,band.php?band_id=264,../images/bands/264.jpg
151,Napalm Death,"hardcore, grindcore, punk",United Kingdom,1981,-,613,band.php?band_id=131,../images/bands/131.jpg
152,Eternal Tears Of Sorrow,"extreme power, melodic death",Finland,1991,-,608,band.php?band_id=105,../images/bands/105.jpg
153,Dying Fetus,"brutal death, deathgrind, technical death",USA,1991,-,596,band.php?band_id=93,../images/bands/93.jpg
154,Windir,viking black,Norway,1994,2004,594,band.php?band_id=346,../images/bands/346.jpg
155,Edge Of Sanity,"death, progressive death",Sweden,1989,2003,592,band.php?band_id=280,../images/bands/280.jpg
156,Suffocation,brutal death,USA,1990,-,587,band.php?band_id=358,../images/bands/358.jpg
157,Killswitch Engage,melodic metalcore,USA,1999,-,585,band.php?band_id=139,../images/bands/139.jpg
158,Savatage,progressive heavy,USA,1978,-,582,band.php?band_id=146,../images/bands/146.jpg
159,Venom,"first wave of black, heavy",United Kingdom,1979,-,582,band.php?band_id=177,../images/bands/177.jpg
160,TÃ½r,folk,Faroe Islands,1998,-,577,band.php?band_id=501,../images/bands/501.jpg
161,Empyrium,"doom, folk, neofolk",Germany,1994,-,570,band.php?band_id=2768,../images/bands/2768.jpg
162,Gorgoroth,black,Norway,1992,-,570,band.php?band_id=229,../images/bands/229.jpg
163,Sentenced,"death, suomi, depressive heavy, melodic death",Finland,1988,2005,570,band.php?band_id=128,../images/bands/128.jpg
